iter	Passed	Remaining
0	2	280
1	5	251
2	7	254
3	9	233
4	12	228
5	14	228
6	17	227
7	19	222
8	21	217
9	23	214
10	26	211
11	28	209
12	31	209
13	34	210
14	36	209
15	39	206
16	42	205
17	44	204
18	47	201
19	49	199
20	52	198
21	55	195
22	57	192
23	60	190
24	62	187
25	64	183
26	66	181
27	69	178
28	71	175
29	73	172
30	76	169
31	78	167
32	80	163
33	82	161
34	85	158
35	87	156
36	90	153
37	92	150
38	94	147
39	96	145
40	99	142
41	100	138
42	102	135
43	109	139
44	111	136
45	115	135
46	117	132
47	119	129
48	122	127
49	125	125
50	127	122
51	129	119
52	132	117
53	134	114
54	135	111
55	138	108
56	140	106
57	142	103
58	144	100
59	147	98
60	149	95
61	151	92
62	153	90
63	156	87
64	158	85
65	160	82
66	161	79
67	163	76
68	165	74
69	167	71
70	169	69
71	171	66
72	173	64
73	174	61
74	176	58
75	178	56
76	180	53
77	181	51
78	183	48
79	185	46
80	186	43
81	188	41
82	190	39
83	192	36
84	193	34
85	195	31
86	197	29
87	198	27
88	200	24
89	202	22
90	204	20
91	206	17
92	207	15
93	209	13
94	211	11
95	213	8
96	215	6
97	216	4
98	218	2
99	220	0
